TradeDate,Time,StartDateTime,PriceDAM,PriceIDA1,PriceIDA2,PriceIDA3,PriceImbalance,EirgridActualDemand,EirgridActualWind,NIV_Actual,TotalPN,ActualMeterData,Aggregated Forecast,AggregatedForecast,PredictedICFlow,PumpStorage,GB DAM Epex,GB DAM N2EX,GB DAM HH Epex,PostIDA1Flow,PostIDA2Flow,LoadForecast_MW,EirGridDemandFc_DAM,Meteo_ISEMDEMAND_DAM,EirGridWindFc_DAM,Meteo_ISEMWIND_DAM,EmSys_C_ISEMWIND_DAM,EmSys_U_ISEMWIND_DAM,ISEMSOLAR_DAM,EirGridDemandFc_IDA1,Meteo_ISEMDEMAND_IDA1,EirGridWindFc_IDA1,Meteo_ISEMWIND_IDA1,EmSys_C_ISEMWIND_IDA1,EmSys_U_ISEMWIND_IDA1,ISEMSOLAR_IDA1,EirGridDemandFc_IDA2,Meteo_ISEMDEMAND_IDA2,EirGridWindFc_IDA2,Meteo_ISEMWIND_IDA2,EmSys_C_ISEMWIND_IDA2,EmSys_U_ISEMWIND_IDA2,ISEMSOLAR_IDA2,EirGridDemandFc_IDA3,Meteo_ISEMDEMAND_IDA3,EirGridWindFc_IDA3,Meteo_ISEMWIND_IDA3,EmSys_C_ISEMWIND_IDA3,EmSys_U_ISEMWIND_IDA3,ISEMSOLAR_IDA3
2025-01-01,00:00:00,2025-01-01 00:00:00,162.98200030391678,179.59111981687943,,,195.64845792717298,4248.265835991493,1480.2300451688393,258.88438924756025,4278.126444326102,4313.496440871303,4170.757221126562,4140.214698027511,-139.5186431651888,24.2470008311288,156.98431857030445,160.41555866783725,171.35964370088018,-270.3930841122845,123.14880810419538,4211.78908350901,4290.231381547303,4271.082805375102,1633.1162792946566,1294.2298708655685,1647.3771607486765,1406.6097848631841,0.0,4348.480554007128,4340.428700673634,1511.3313317591665,1640.4208107294235,1331.8970361260435,1423.102417234271,0.0,,4105.589262128677,,1628.659972524046,1373.7701200728966,1643.1254325941431,,,4329.955286189082,,1621.3478201117325,1484.5250288278257,1690.3108524565223,
2025-01-01,00:30:00,2025-01-01 00:30:00,169.69313885317467,131.74322662165451,,,206.56590369059458,4371.419474114885,1363.1915520782852,-162.7171243861604,4236.503943260689,4548.7671163665,4292.882118858652,4241.223886676355,23.694957658360845,68.07467061806679,160.11141394021283,165.381058286472,162.67792798679645,236.36936618417704,-295.0248508921233,4297.731104003925,4347.66049734861,4152.290802409713,1291.9592136236708,1477.7809520926726,1517.957135442385,1405.2186907200428,16.42711387923866,4344.424977352468,4177.84097090186,1285.723329716432,1408.1527622046792,1383.5804513116052,1294.7853286240531,0.0,,4141.779322508935,,1300.4661082897958,1598.0385238993433,1497.067136539377,,,4169.558643434074,,1111.9082770192351,1292.6679656112667,1230.226360066714,
2025-01-01,01:00:00,2025-01-01 01:00:00,160.17700207832587,149.34503337385584,,,187.82489354247778,4525.645246871035,1653.0349318084577,458.78063158900625,4461.106429507937,4537.513383204334,4325.899835749439,4520.336809989704,26.040996972927854,56.83247393647572,166.50316501436973,156.53787036826958,171.54374820147396,305.8988910142499,-38.345228267743806,4384.108520896445,4541.89299453006,4364.505987838398,1808.413390926768,1691.219419762744,1910.575970871746,1644.2942883626013,8.110748238446687,4498.248682561893,4406.65878230886,1477.2936037077393,1711.5660326977036,1670.254654141619,1751.7274379544854,0.0,,4423.6694235364375,,1654.5277675871894,1862.2218583859217,1755.116050774909,,,4548.690185248635,,1861.7772784890321,1381.2711848999525,1617.9785242585008,
2025-01-01,01:30:00,2025-01-01 01:30:00,172.25884265778296,170.1631101432593,,,188.76494158954,4477.004871081196,1673.1444846000659,-171.33007740913774,4435.038112766369,4479.173048871388,4382.785071136326,4580.295257644962,32.63030560190876,32.102103405066785,176.79227548599627,195.7558665782435,166.72476066115775,23.324018788434607,-174.50178189639786,4514.473891177032,4465.346206921488,4626.711554796879,1599.2136431584358,1625.577765443776,1575.5304572486536,1981.3288063956209,0.0,4356.210788212272,4467.737603495107,1599.2038991750883,1920.016518916205,1627.0618905970032,1497.322970060457,0.0,,4552.788128755493,,1778.5031787337043,1604.8432121206124,1695.1890034982625,,,4243.423366110454,,1563.1311695166391,1754.9596241375284,1658.7259448231157,
2025-01-01,02:00:00,2025-01-01 02:00:00,188.53064784437527,194.6281478313863,,,212.07958277042118,4521.628341728707,1178.6284294856252,190.18560968197067,4719.710843240659,4627.421405044473,4583.885139235827,4536.086664739713,73.52885039832871,25.896225172438196,169.28505985576754,203.6139869763883,198.6168573491555,-319.26443497492244,458.1844812996808,4715.862060979757,4552.1899393328995,4704.184624029507,1021.8305122602007,1285.3547433583767,1257.8615719087516,1315.6096669754972,0.0,4522.10471345419,4698.608819504372,1456.0570886052908,1139.6074294562998,1401.6844044785068,1131.352768983147,0.0,,4493.961978383913,,1189.7503077889914,1374.075119633868,1254.1130524149933,,,4635.764037490491,,1042.0803116857032,1075.8335838757268,1029.8075328298273,
2025-01-01,02:30:00,2025-01-01 02:30:00,163.50675095436156,151.61672974272116,,,181.1193554683783,4625.30337953646,1363.612358830751,-65.2309602646504,4620.330791949644,4600.159974173143,4581.717257078689,4847.893554103131,-228.43956435169613,26.675877371695897,153.48740481353298,170.0953641387217,168.94539281246693,-139.00965787504066,-160.60472050923454,4711.552114983711,4618.48671674328,4650.777509363227,1124.0416977523678,1180.3971897611696,1252.2644616850787,1325.3634673199754,8.460127529958546,4515.078442593164,4695.349218821759,1256.503306327351,1268.280495675555,1148.0752007238852,1084.885250846235,4.0379284805482865,,4891.018351659878,,1161.3244713799681,1184.6930355312359,1402.4904733805142,,,4682.467694128508,,1507.5760818602625,1336.575725611388,1223.3233348878994,
2025-01-01,03:00:00,2025-01-01 03:00:00,158.8516040781117,125.34892468692327,,,179.20346834329922,4728.213185375305,1617.4975577065588,128.7040290599787,4640.7545383876395,4761.161026505443,4824.065209695098,4768.934829947941,331.7053317480476,19.188238939828924,164.40348559412877,156.8291313680602,158.1501500641204,-147.940879792177,-239.5590397465259,5013.37360900713,4656.055646185089,4795.251038003363,1664.086514568734,1454.0888347737666,1725.411626481396,1628.6298274857484,0.0,4662.454959371091,4689.550721280521,1690.3823885877518,1498.9197983528984,1580.6556283363277,1695.1728743703177,12.79545874540739,,4709.796735302977,,1785.910094176299,1507.1139981740116,1622.3243481125407,,,4615.8819227058075,,1515.729508648635,1400.9819708376992,1452.5599505438063,
2025-01-01,03:30:00,2025-01-01 03:30:00,182.6929372550617,168.27224126879142,,,204.88888996413124,4644.224242214737,1509.109183488936,-7.294512082620173,4683.210820015878,4664.038833219457,4569.53739935936,4685.376901357572,-43.42500375106881,32.25399055094583,184.97079903694032,180.62783672533536,178.26120543875393,-100.04022362013804,-443.2594269498549,4680.2947735289545,4670.950688020939,4713.9469682215395,1445.2593057671593,1652.5327375440174,1560.0653833064441,1504.0597785897064,19.77499310835351,4639.393268249014,4677.645243629897,1389.0292395610422,1832.015703004778,1650.799770422093,1315.0337793421963,0.0,,4523.0658669339855,,1584.1297313578116,1515.9694994986812,1460.7933666267786,,,4691.589047544039,,1691.3136952815526,1531.6443910489904,1388.9687208180312,
2025-01-01,04:00:00,2025-01-01 04:00:00,169.02548967272136,155.16232937765338,,,127.82827647366922,4702.862918655414,1527.6892021630065,-196.42146756528842,4893.583418982093,4603.339473964553,4503.698299849175,4625.289074906856,64.865400716833,42.37583882172358,168.016172492684,168.9926387493318,172.62365634265646,-159.24582169374816,-165.8022941340406,4903.266712505247,4716.279917784315,4708.114128470174,1564.91218308102,1587.6622672476,1545.338751246741,1455.6731264719203,0.0,4806.083435048135,4686.239577283555,1446.5219817439197,1778.4253942103542,1596.878215722025,1386.0876204878284,0.0,,4673.437711955942,,1432.4661249343567,1478.1504486910592,1677.0815897933805,,,4703.007993952636,,1586.9626068165257,1605.1332344899665,1565.1965140852346,
2025-01-01,04:30:00,2025-01-01 04:30:00,182.7606103684645,169.3016220709096,,,162.5855719901606,4656.044855505141,1390.4960089933368,-503.4294283162358,4717.767718961589,4636.781767085914,4453.435956864736,4733.560905978184,-144.36484908623356,5.7093941397067525,191.81739104256636,206.43910512287573,185.75717937643597,93.70708260258498,19.655571802833133,4638.555722284721,4629.8583603214065,4583.338081723534,1548.0178167798701,1642.3801379647907,1333.885498211171,1266.1445740596541,0.0,4677.149057488587,4567.808479358576,1437.6179205217366,1360.1416208992018,1212.966525948644,1538.657653811131,0.0,,4590.179942170759,,1409.1944250299023,1508.2093450016805,1407.1679138565507,,,4486.126181614343,,1227.5427380648562,1421.8487704914328,1534.1419506653988,
